sample_identifier,group_identifier,true_label,probability,predicted_label,error_type,distance_from_threshold,source_representation
test_index_0,not_available_in_prediction_export,0,0.44016605615615845,0,TN,0.07483394384384146,images
test_index_1,not_available_in_prediction_export,0,0.3310396671295166,0,TN,0.1839603328704833,images
test_index_2,not_available_in_prediction_export,0,0.4475875198841095,0,TN,0.0674124801158904,images
test_index_3,not_available_in_prediction_export,0,0.4435873329639435,0,TN,0.07141266703605642,images
test_index_4,not_available_in_prediction_export,0,0.5742307305335999,1,FP,0.05923073053359995,images
test_index_5,not_available_in_prediction_export,0,0.5982506275177002,1,FP,0.08325062751770029,images
test_index_6,not_available_in_prediction_export,0,0.5903094410896301,1,FP,0.07530944108963022,images
test_index_7,not_available_in_prediction_export,0,0.4803920090198517,0,TN,0.03460799098014822,images
test_index_8,not_available_in_prediction_export,0,0.5368335843086243,1,FP,0.021833584308624365,images
test_index_9,not_available_in_prediction_export,0,0.5408426523208618,1,FP,0.025842652320861914,images
test_index_10,not_available_in_prediction_export,0,0.4444943964481354,0,TN,0.07050560355186453,images
test_index_11,not_available_in_prediction_export,0,0.4242885708808899,0,TN,0.09071142911911001,images
test_index_12,not_available_in_prediction_export,0,0.5402554869651794,1,FP,0.02525548696517954,images
test_index_13,not_available_in_prediction_export,0,0.4381850063800812,0,TN,0.07681499361991873,images
test_index_14,not_available_in_prediction_export,0,0.30349794030189514,0,TN,0.21150205969810476,images
test_index_15,not_available_in_prediction_export,0,0.40393948554992676,0,TN,0.11106051445007314,images
test_index_16,not_available_in_prediction_export,0,0.6355637311935425,1,FP,0.12056373119354258,images
test_index_17,not_available_in_prediction_export,0,0.47335273027420044,0,TN,0.04164726972579946,images
test_index_18,not_available_in_prediction_export,0,0.5047012567520142,0,TN,0.010298743247985742,images
test_index_19,not_available_in_prediction_export,0,0.43074044585227966,0,TN,0.08425955414772024,images
test_index_20,not_available_in_prediction_export,0,0.5380425453186035,1,FP,0.023042545318603613,images
test_index_21,not_available_in_prediction_export,0,0.42923980951309204,0,TN,0.08576019048690786,images
test_index_22,not_available_in_prediction_export,0,0.46459946036338806,0,TN,0.05040053963661184,images
test_index_23,not_available_in_prediction_export,0,0.42668625712394714,0,TN,0.08831374287605276,images
test_index_24,not_available_in_prediction_export,0,0.4541333019733429,0,TN,0.06086669802665701,images
test_index_25,not_available_in_prediction_export,0,0.5844107866287231,1,FP,0.06941078662872324,images
test_index_26,not_available_in_prediction_export,0,0.5146452188491821,0,TN,0.0003547811508177734,images
test_index_27,not_available_in_prediction_export,0,0.45191672444343567,0,TN,0.06308327555656423,images
test_index_28,not_available_in_prediction_export,0,0.5546166896820068,1,FP,0.039616689682006934,images
test_index_29,not_available_in_prediction_export,0,0.49240270256996155,0,TN,0.022597297430038354,images
test_index_30,not_available_in_prediction_export,0,0.5483911633491516,1,FP,0.03339116334915171,images
test_index_31,not_available_in_prediction_export,0,0.37708014249801636,0,TN,0.13791985750198354,images
test_index_32,not_available_in_prediction_export,0,0.49446600675582886,0,TN,0.020533993244171045,images
test_index_33,not_available_in_prediction_export,0,0.4962390661239624,0,TN,0.0187609338760375,images
test_index_34,not_available_in_prediction_export,0,0.5192909836769104,1,FP,0.004290983676910498,images
test_index_35,not_available_in_prediction_export,0,0.4420871138572693,0,TN,0.07291288614273062,images
test_index_36,not_available_in_prediction_export,0,0.4859965443611145,0,TN,0.0290034556388854,images
test_index_37,not_available_in_prediction_export,0,0.4711077809333801,0,TN,0.043892219066619775,images
test_index_38,not_available_in_prediction_export,0,0.45956847071647644,0,TN,0.05543152928352346,images
test_index_39,not_available_in_prediction_export,0,0.530282199382782,1,FP,0.01528219938278208,images
test_index_40,not_available_in_prediction_export,0,0.5204242467880249,1,FP,0.005424246788025,images
test_index_41,not_available_in_prediction_export,0,0.5049259662628174,0,TN,0.01007403373718252,images
test_index_42,not_available_in_prediction_export,0,0.5208421349525452,1,FP,0.005842134952545264,images
test_index_43,not_available_in_prediction_export,0,0.4985302686691284,0,TN,0.016469731330871484,images
test_index_44,not_available_in_prediction_export,0,0.5514658093452454,1,FP,0.03646580934524546,images
test_index_45,not_available_in_prediction_export,0,0.4077191650867462,0,TN,0.10728083491325369,images
test_index_46,not_available_in_prediction_export,0,0.47717300057411194,0,TN,0.037826999425887964,images
test_index_47,not_available_in_prediction_export,0,0.47413456439971924,0,TN,0.040865435600280664,images
test_index_48,not_available_in_prediction_export,0,0.5409544706344604,1,FP,0.025954470634460547,images
test_index_49,not_available_in_prediction_export,0,0.5693075656890869,1,FP,0.05430756568908701,images
test_index_50,not_available_in_prediction_export,0,0.5375775098800659,1,FP,0.022577509880066016,images
test_index_51,not_available_in_prediction_export,0,0.5169864296913147,1,FP,0.001986429691314795,images
test_index_52,not_available_in_prediction_export,0,0.46316108107566833,0,TN,0.05183891892433157,images
test_index_53,not_available_in_prediction_export,0,0.406680166721344,0,TN,0.10831983327865591,images
test_index_54,not_available_in_prediction_export,0,0.5660298466682434,1,FP,0.051029846668243506,images
test_index_55,not_available_in_prediction_export,0,0.4676681458950043,0,TN,0.04733185410499563,images
test_index_56,not_available_in_prediction_export,0,0.3540284335613251,0,TN,0.16097156643867483,images
test_index_57,not_available_in_prediction_export,0,0.4235334098339081,0,TN,0.09146659016609182,images
test_index_58,not_available_in_prediction_export,0,0.4462513029575348,0,TN,0.06874869704246511,images
