model,fold,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy
Logistic Regression,1,0.9943240454076367,0.9910359536657115,0.9117647058823529,0.9649122807017544,0.9383384932920537
Logistic Regression,2,0.9979360165118679,0.9969040247678019,0.9705882352941176,0.9649122807017544,0.967750257997936
Logistic Regression,3,1.0,1.0,1.0,1.0,1.0
Logistic Regression,4,0.9865841073271413,0.9872549019607844,0.9411764705882353,1.0,0.9705882352941176
Logistic Regression,5,0.9979360165118679,0.9969040247678019,0.9705882352941176,0.9649122807017544,0.967750257997936
Logistic Regression,mean,0.9953560371517026,0.99441978103242,0.9588235294117646,0.9789473684210526,0.9688854489164086
Logistic Regression,std,0.005312502652728107,0.0051543078429250825,0.033534571326445245,0.01921833535105846,0.02183293718983205
Random Forest,1,0.9860681114551084,0.9825369675794606,0.9117647058823529,0.9824561403508771,0.947110423116615
Random Forest,2,0.9989680082559339,0.9983660130718954,0.9705882352941176,0.9649122807017544,0.967750257997936
Random Forest,3,0.9917440660474717,0.9873580800051389,0.8823529411764706,0.9649122807017544,0.9236326109391124
Random Forest,4,0.9850361197110423,0.9820777682369378,0.9411764705882353,0.9473684210526315,0.9442724458204335
Random Forest,5,0.9793601651186791,0.9834218135279897,0.9705882352941176,0.9824561403508771,0.9765221878224974
Random Forest,mean,0.9882352941176471,0.9867521284842844,0.9352941176470588,0.9684210526315787,0.951857585139319
Random Forest,std,0.007436429680207982,0.0068183156890764375,0.03834824944236853,0.014678246079545178,0.02084249703411943
XGBoost,1,0.9953560371517027,0.9930496106966695,0.9411764705882353,0.9824561403508771,0.9618163054695562
XGBoost,2,0.998452012383901,0.9976152623211447,0.9705882352941176,0.9649122807017544,0.967750257997936
XGBoost,3,0.9953560371517027,0.9928184848600073,0.9117647058823529,1.0,0.9558823529411764
XGBoost,4,0.9855521155830753,0.984965449970435,0.9705882352941176,0.9649122807017544,0.967750257997936
XGBoost,5,0.9927760577915377,0.991421568627451,0.9705882352941176,1.0,0.9852941176470589
XGBoost,mean,0.993498452012384,0.9919740752951416,0.9529411764705882,0.982456140350877,0.9676986584107325
XGBoost,std,0.004876092736812178,0.004558478022747389,0.026306682088232825,0.017543859649122806,0.010998098265682673
