model,sample_index,true_label,raw_probability,probability,prediction,threshold,outcome_type,confidence_distance_from_threshold
Logistic Regression,120,0,0.0005322109813501576,0.0005322109813501576,0,0.36,TN,0.35946778901864984
Logistic Regression,250,1,0.9999999912713665,0.9999999912713665,1,0.36,TP,0.6399999912713665
Logistic Regression,375,0,0.05259426888052244,0.05259426888052244,0,0.36,TN,0.30740573111947755
Logistic Regression,99,1,0.6760486739364807,0.6760486739364807,1,0.36,TP,0.31604867393648073
Logistic Regression,455,0,0.6425540844103339,0.6425540844103339,1,0.36,FP,0.2825540844103339
Logistic Regression,318,0,0.000987888140156862,0.000987888140156862,0,0.36,TN,0.3590121118598431
Logistic Regression,39,1,0.8196275611937682,0.8196275611937682,1,0.36,TP,0.45962756119376824
Logistic Regression,371,0,0.0013838400232068257,0.0013838400232068257,0,0.36,TN,0.35861615997679314
Logistic Regression,98,0,0.0008658506950161237,0.0008658506950161237,0,0.36,TN,0.3591341493049839
Logistic Regression,502,0,0.013889604419064042,0.013889604419064042,0,0.36,TN,0.3461103955809359
Logistic Regression,479,1,0.9365726944023325,0.9365726944023325,1,0.36,TP,0.5765726944023325
Logistic Regression,60,0,0.00010747473761345051,0.00010747473761345051,0,0.36,TN,0.3598925252623865
Logistic Regression,280,1,0.9999999115092876,0.9999999115092876,1,0.36,TP,0.6399999115092876
Logistic Regression,420,0,0.006683252341844758,0.006683252341844758,0,0.36,TN,0.35331674765815524
Logistic Regression,221,0,0.009800080099760296,0.009800080099760296,0,0.36,TN,0.3501999199002397
Logistic Regression,116,0,2.5520723296526545e-06,2.5520723296526545e-06,0,0.36,TN,0.35999744792767036
Logistic Regression,73,1,0.0863513923638945,0.0863513923638945,0,0.36,FN,0.2736486076361055
Logistic Regression,429,0,0.00055422189261705,0.00055422189261705,0,0.36,TN,0.35944577810738293
Logistic Regression,208,0,0.270862844799969,0.270862844799969,0,0.36,TN,0.08913715520003096
Logistic Regression,179,0,8.74263444230502e-05,8.74263444230502e-05,0,0.36,TN,0.35991257365557694
Logistic Regression,459,0,0.0021739759675196276,0.0021739759675196276,0,0.36,TN,0.35782602403248037
Logistic Regression,506,0,0.005757274554271829,0.005757274554271829,0,0.36,TN,0.35424272544572816
Logistic Regression,218,1,0.9999997050636897,0.9999997050636897,1,0.36,TP,0.6399997050636897
Logistic Regression,34,1,0.9987077927341584,0.9987077927341584,1,0.36,TP,0.6387077927341585
Logistic Regression,86,1,0.822565748735062,0.822565748735062,1,0.36,TP,0.46256574873506207
Logistic Regression,222,0,0.0003115961918945841,0.0003115961918945841,0,0.36,TN,0.3596884038081054
Logistic Regression,548,0,0.0003047641626955501,0.0003047641626955501,0,0.36,TN,0.35969523583730445
Logistic Regression,100,1,0.9812773363804929,0.9812773363804929,1,0.36,TP,0.6212773363804929
Logistic Regression,64,1,0.9976232042566985,0.9976232042566985,1,0.36,TP,0.6376232042566985
Logistic Regression,468,1,0.9997383012323527,0.9997383012323527,1,0.36,TP,0.6397383012323528
Logistic Regression,70,1,0.9999948586406107,0.9999948586406107,1,0.36,TP,0.6399948586406107
Logistic Regression,511,0,0.0034830490924349865,0.0034830490924349865,0,0.36,TN,0.356516950907565
Logistic Regression,118,1,0.999970233807002,0.999970233807002,1,0.36,TP,0.639970233807002
Logistic Regression,451,1,0.9999597900287536,0.9999597900287536,1,0.36,TP,0.6399597900287536
Logistic Regression,309,0,0.0004676575384030876,0.0004676575384030876,0,0.36,TN,0.3595323424615969
Logistic Regression,169,0,0.020548501256334836,0.020548501256334836,0,0.36,TN,0.33945149874366515
Logistic Regression,74,0,0.00331200597063796,0.00331200597063796,0,0.36,TN,0.356687994029362
Logistic Regression,345,0,4.674399574452282e-06,4.674399574452282e-06,0,0.36,TN,0.3599953256004255
Logistic Regression,22,1,0.9925407569894826,0.9925407569894826,1,0.36,TP,0.6325407569894826
Logistic Regression,347,0,0.13701055819240116,0.13701055819240116,0,0.36,TN,0.22298944180759883
Logistic Regression,505,0,0.00013711253941340787,0.00013711253941340787,0,0.36,TN,0.3598628874605866
Logistic Regression,269,0,0.0005225004782223654,0.0005225004782223654,0,0.36,TN,0.3594774995217776
Logistic Regression,385,1,0.9056859655151053,0.9056859655151053,1,0.36,TP,0.5456859655151053
Logistic Regression,411,0,0.00421185309648229,0.00421185309648229,0,0.36,TN,0.3557881469035177
Logistic Regression,111,0,0.017793336747358557,0.017793336747358557,0,0.36,TN,0.34220666325264143
Logistic Regression,7,1,0.9684991094307519,0.9684991094307519,1,0.36,TP,0.6084991094307519
Logistic Regression,554,0,0.10150256311913271,0.10150256311913271,0,0.36,TN,0.2584974368808673
Logistic Regression,196,1,0.9990609829947033,0.9990609829947033,1,0.36,TP,0.6390609829947033
Logistic Regression,568,0,9.956162603190948e-05,9.956162603190948e-05,0,0.36,TN,0.35990043837396807
Logistic Regression,529,0,0.0015619725237094434,0.0015619725237094434,0,0.36,TN,0.35843802747629055
Logistic Regression,219,1,0.9999999938608117,0.9999999938608117,1,0.36,TP,0.6399999938608117
Logistic Regression,83,1,0.9988129668313933,0.9988129668313933,1,0.36,TP,0.6388129668313933
Logistic Regression,464,0,0.010782548419418224,0.010782548419418224,0,0.36,TN,0.34921745158058176
Logistic Regression,188,0,0.0015245567407655715,0.0015245567407655715,0,0.36,TN,0.3584754432592344
Logistic Regression,139,0,0.0002006363520972391,0.0002006363520972391,0,0.36,TN,0.35979936364790277
Logistic Regression,207,1,0.9916970766574372,0.9916970766574372,1,0.36,TP,0.6316970766574372
Logistic Regression,410,0,0.08741124455461814,0.08741124455461814,0,0.36,TN,0.27258875544538186
Logistic Regression,314,0,2.101551270551823e-06,2.101551270551823e-06,0,0.36,TN,0.3599978984487294
Logistic Regression,387,0,0.0007921121484145348,0.0007921121484145348,0,0.36,TN,0.3592078878515855
Logistic Regression,563,1,0.9999999986481989,0.9999999986481989,1,0.36,TP,0.6399999986481989
Logistic Regression,483,0,0.024362974030787785,0.024362974030787785,0,0.36,TN,0.3356370259692122
Logistic Regression,154,0,0.09408677569032758,0.09408677569032758,0,0.36,TN,0.2659132243096724
Logistic Regression,14,1,0.9159186067677866,0.9159186067677866,1,0.36,TP,0.5559186067677866
Logistic Regression,296,0,1.3731336901183863e-06,1.3731336901183863e-06,0,0.36,TN,0.35999862686630985
Logistic Regression,528,0,0.03071734977242225,0.03071734977242225,0,0.36,TN,0.32928265022757774
Logistic Regression,362,0,0.005557059545026462,0.005557059545026462,0,0.36,TN,0.35444294045497354
Logistic Regression,321,1,0.9997756936912077,0.9997756936912077,1,0.36,TP,0.6397756936912077
Logistic Regression,198,1,0.9998736841814778,0.9998736841814778,1,0.36,TP,0.6398736841814778
Logistic Regression,438,0,0.022243754736293878,0.022243754736293878,0,0.36,TN,0.3377562452637061
Logistic Regression,5,1,0.9089850179493989,0.9089850179493989,1,0.36,TP,0.5489850179493989
Logistic Regression,294,0,0.00021893334676184926,0.00021893334676184926,0,0.36,TN,0.3597810666532381
Logistic Regression,162,1,0.9999999859016271,0.9999999859016271,1,0.36,TP,0.6399999859016271
Logistic Regression,4,1,0.9999095796264924,0.9999095796264924,1,0.36,TP,0.6399095796264924
Logistic Regression,522,0,0.000194814446815539,0.000194814446815539,0,0.36,TN,0.35980518555318447
Logistic Regression,418,0,0.00044345894610937285,0.00044345894610937285,0,0.36,TN,0.3595565410538906
Logistic Regression,275,0,0.06054290086379278,0.06054290086379278,0,0.36,TN,0.2994570991362072
Logistic Regression,183,0,4.3281361075846314e-05,4.3281361075846314e-05,0,0.36,TN,0.35995671863892414
Logistic Regression,94,1,0.9966545392673788,0.9966545392673788,1,0.36,TP,0.6366545392673788
Logistic Regression,245,0,0.01628959515272762,0.01628959515272762,0,0.36,TN,0.3437104048472724
Logistic Regression,277,1,0.9802825851419981,0.9802825851419981,1,0.36,TP,0.6202825851419981
Logistic Regression,177,1,0.9919905046630785,0.9919905046630785,1,0.36,TP,0.6319905046630785
Logistic Regression,433,1,0.9999854677215203,0.9999854677215203,1,0.36,TP,0.6399854677215203
