Feature,StandardizedCoefficient
mean radius,0.3161695566521011
mean texture,0.4412111412344253
mean perimeter,0.31258449027297064
mean area,0.3992713672116697
mean smoothness,0.3628571410852347
mean compactness,-0.5292357886830995
mean concavity,0.7565223774416651
mean concave points,0.9598621843437816
mean symmetry,-0.2011609737525642
mean fractal dimension,-0.045573732007388554
radius error,1.3070938825809058
texture error,-0.3714582267258133
perimeter error,0.7663426227839902
area error,0.9275818436383921
smoothness error,0.22093242455649748
compactness error,-0.9529222528199591
concavity error,-0.13290216325906015
concave points error,0.5843796298991577
symmetry error,-0.37969514603821763
fractal dimension error,-0.589500903605171
worst radius,0.8993298657901634
worst texture,1.4644759946819772
worst perimeter,0.7101004982622209
worst area,0.8998657569872683
worst smoothness,0.3475483232727222
worst compactness,-0.16851000722313633
worst concavity,0.937757286049637
worst concave points,0.737228305199888
worst symmetry,1.0795497934597265
worst fractal dimension,0.06260739251370803
