model,threshold,sensitivity,specificity,precision,f1,balanced_accuracy,fp,fn
Logistic Regression,0.05,0.9941176470588236,0.8105263157894737,0.757847533632287,0.8600508905852418,0.9023219814241485,54,1
Logistic Regression,0.06,0.9941176470588236,0.8210526315789474,0.7681818181818182,0.8666666666666667,0.9075851393188854,51,1
Logistic Regression,0.07,0.9941176470588236,0.8350877192982457,0.7824074074074074,0.8756476683937824,0.9146026831785345,47,1
Logistic Regression,0.08,0.9941176470588236,0.8456140350877193,0.7934272300469484,0.8825065274151436,0.9198658410732714,44,1
Logistic Regression,0.09,0.9941176470588236,0.8631578947368421,0.8125,0.8941798941798942,0.9286377708978328,39,1
Logistic Regression,0.1,0.9941176470588236,0.8771929824561403,0.8284313725490197,0.9037433155080213,0.935655314757482,35,1
Logistic Regression,0.11,0.9941176470588236,0.8807017543859649,0.8325123152709359,0.9061662198391421,0.9374097007223943,34,1
Logistic Regression,0.12,0.9941176470588236,0.8842105263157894,0.8366336633663366,0.9086021505376344,0.9391640866873066,33,1
Logistic Regression,0.13,0.9941176470588236,0.9017543859649123,0.8578680203045685,0.9209809264305178,0.947936016511868,28,1
Logistic Regression,0.14,0.9882352941176471,0.9052631578947369,0.8615384615384616,0.9205479452054794,0.946749226006192,27,2
Logistic Regression,0.15,0.9882352941176471,0.9122807017543859,0.8704663212435233,0.9256198347107438,0.9502579979360165,25,2
Logistic Regression,0.16,0.9823529411764705,0.9192982456140351,0.8789473684210526,0.9277777777777778,0.9508255933952527,23,3
Logistic Regression,0.17,0.9823529411764705,0.9192982456140351,0.8789473684210526,0.9277777777777778,0.9508255933952527,23,3
Logistic Regression,0.18,0.9823529411764705,0.9228070175438596,0.8835978835978836,0.9303621169916435,0.952579979360165,22,3
Logistic Regression,0.19,0.9823529411764705,0.9263157894736842,0.8882978723404256,0.9329608938547486,0.9543343653250773,21,3
Logistic Regression,0.2,0.9823529411764705,0.9263157894736842,0.8882978723404256,0.9329608938547486,0.9543343653250773,21,3
Logistic Regression,0.21,0.9823529411764705,0.9333333333333333,0.8978494623655914,0.9382022471910112,0.9578431372549019,19,3
Logistic Regression,0.22,0.9823529411764705,0.9333333333333333,0.8978494623655914,0.9382022471910112,0.9578431372549019,19,3
Logistic Regression,0.23,0.9823529411764705,0.9333333333333333,0.8978494623655914,0.9382022471910112,0.9578431372549019,19,3
Logistic Regression,0.24,0.9823529411764705,0.9368421052631579,0.9027027027027027,0.9408450704225352,0.9595975232198142,18,3
Logistic Regression,0.25,0.9823529411764705,0.9368421052631579,0.9027027027027027,0.9408450704225352,0.9595975232198142,18,3
Logistic Regression,0.26,0.9823529411764705,0.9473684210526315,0.9175824175824175,0.9488636363636364,0.964860681114551,15,3
Logistic Regression,0.27,0.9823529411764705,0.9508771929824561,0.9226519337016574,0.9515669515669516,0.9666150670794633,14,3
Logistic Regression,0.28,0.9823529411764705,0.9508771929824561,0.9226519337016574,0.9515669515669516,0.9666150670794633,14,3
Logistic Regression,0.29,0.9764705882352941,0.9543859649122807,0.9273743016759777,0.9512893982808023,0.9654282765737874,13,4
Logistic Regression,0.3,0.9764705882352941,0.9543859649122807,0.9273743016759777,0.9512893982808023,0.9654282765737874,13,4
Logistic Regression,0.31,0.9764705882352941,0.9543859649122807,0.9273743016759777,0.9512893982808023,0.9654282765737874,13,4
Logistic Regression,0.32,0.9764705882352941,0.9543859649122807,0.9273743016759777,0.9512893982808023,0.9654282765737874,13,4
Logistic Regression,0.33,0.9764705882352941,0.9543859649122807,0.9273743016759777,0.9512893982808023,0.9654282765737874,13,4
Logistic Regression,0.34,0.9764705882352941,0.9578947368421052,0.9325842696629213,0.9540229885057471,0.9671826625386997,12,4
Logistic Regression,0.35,0.9764705882352941,0.9649122807017544,0.9431818181818182,0.9595375722543352,0.9706914344685242,10,4
Logistic Regression,0.36,0.9764705882352941,0.968421052631579,0.9485714285714286,0.9623188405797102,0.9724458204334365,9,4
Logistic Regression,0.37,0.9705882352941176,0.9719298245614035,0.953757225433526,0.9620991253644315,0.9712590299277606,8,5
Logistic Regression,0.38,0.9705882352941176,0.9719298245614035,0.953757225433526,0.9620991253644315,0.9712590299277606,8,5
Logistic Regression,0.39,0.9705882352941176,0.9719298245614035,0.953757225433526,0.9620991253644315,0.9712590299277606,8,5
Logistic Regression,0.4,0.9705882352941176,0.9719298245614035,0.953757225433526,0.9620991253644315,0.9712590299277606,8,5
Logistic Regression,0.41,0.9705882352941176,0.9719298245614035,0.953757225433526,0.9620991253644315,0.9712590299277606,8,5
Logistic Regression,0.42,0.9705882352941176,0.9719298245614035,0.953757225433526,0.9620991253644315,0.9712590299277606,8,5
Logistic Regression,0.43,0.9705882352941176,0.9719298245614035,0.953757225433526,0.9620991253644315,0.9712590299277606,8,5
Logistic Regression,0.44,0.9647058823529412,0.9754385964912281,0.9590643274853801,0.9618768328445748,0.9700722394220846,7,6
Logistic Regression,0.45,0.9647058823529412,0.9754385964912281,0.9590643274853801,0.9618768328445748,0.9700722394220846,7,6
Logistic Regression,0.46,0.9647058823529412,0.9754385964912281,0.9590643274853801,0.9618768328445748,0.9700722394220846,7,6
Logistic Regression,0.47,0.9647058823529412,0.9754385964912281,0.9590643274853801,0.9618768328445748,0.9700722394220846,7,6
Logistic Regression,0.48,0.9647058823529412,0.9754385964912281,0.9590643274853801,0.9618768328445748,0.9700722394220846,7,6
Logistic Regression,0.49,0.9588235294117647,0.9789473684210527,0.9644970414201184,0.9616519174041298,0.9688854489164087,6,7
Logistic Regression,0.5,0.9588235294117647,0.9789473684210527,0.9644970414201184,0.9616519174041298,0.9688854489164087,6,7
Logistic Regression,0.51,0.9588235294117647,0.9789473684210527,0.9644970414201184,0.9616519174041298,0.9688854489164087,6,7
Logistic Regression,0.52,0.9529411764705882,0.9789473684210527,0.9642857142857143,0.9585798816568047,0.9659442724458205,6,8
Logistic Regression,0.53,0.9529411764705882,0.9789473684210527,0.9642857142857143,0.9585798816568047,0.9659442724458205,6,8
Logistic Regression,0.54,0.9529411764705882,0.9824561403508771,0.9700598802395209,0.9614243323442137,0.9676986584107327,5,8
Logistic Regression,0.55,0.9529411764705882,0.9824561403508771,0.9700598802395209,0.9614243323442137,0.9676986584107327,5,8
Logistic Regression,0.56,0.9529411764705882,0.9859649122807017,0.9759036144578314,0.9642857142857143,0.969453044375645,4,8
