model,threshold,sensitivity,specificity,precision,f1,balanced_accuracy,fp,fn
Random Forest,0.05,0.9823529411764705,0.8842105263157894,0.835,0.9027027027027027,0.93328173374613,33,3
Random Forest,0.06,0.9764705882352941,0.887719298245614,0.8383838383838383,0.9021739130434783,0.932094943240454,32,4
Random Forest,0.07,0.9705882352941176,0.8947368421052632,0.8461538461538461,0.9041095890410958,0.9326625386996904,30,5
Random Forest,0.08,0.9705882352941176,0.8982456140350877,0.8505154639175257,0.9065934065934066,0.9344169246646027,29,5
Random Forest,0.09,0.9705882352941176,0.9017543859649123,0.8549222797927462,0.9090909090909091,0.936171310629515,28,5
Random Forest,0.1,0.9705882352941176,0.9017543859649123,0.8549222797927462,0.9090909090909091,0.936171310629515,28,5
Random Forest,0.11,0.9705882352941176,0.9087719298245615,0.8638743455497382,0.9141274238227147,0.9396800825593395,26,5
Random Forest,0.12,0.9705882352941176,0.9263157894736842,0.8870967741935484,0.9269662921348315,0.9484520123839009,21,5
Random Forest,0.13,0.9647058823529412,0.9368421052631579,0.9010989010989011,0.9318181818181818,0.9507739938080495,18,6
Random Forest,0.14,0.9647058823529412,0.9403508771929825,0.9060773480662984,0.9344729344729344,0.9525283797729618,17,6
Random Forest,0.15,0.9588235294117647,0.9473684210526315,0.9157303370786517,0.9367816091954023,0.9530959752321981,15,7
Random Forest,0.16,0.9588235294117647,0.9508771929824561,0.9209039548022598,0.9394812680115274,0.9548503611971104,14,7
Random Forest,0.17,0.9588235294117647,0.9508771929824561,0.9209039548022598,0.9394812680115274,0.9548503611971104,14,7
Random Forest,0.18,0.9588235294117647,0.9508771929824561,0.9209039548022598,0.9394812680115274,0.9548503611971104,14,7
Random Forest,0.19,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.2,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.21,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.22,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.23,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.24,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.25,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.26,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.27,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.28,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.29,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.3,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.31,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.32,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.33,0.9588235294117647,0.9543859649122807,0.9261363636363636,0.9421965317919075,0.9566047471620227,13,7
Random Forest,0.34,0.9588235294117647,0.9578947368421052,0.9314285714285714,0.9449275362318841,0.958359133126935,12,7
Random Forest,0.35,0.9588235294117647,0.9578947368421052,0.9314285714285714,0.9449275362318841,0.958359133126935,12,7
Random Forest,0.36,0.9588235294117647,0.9578947368421052,0.9314285714285714,0.9449275362318841,0.958359133126935,12,7
Random Forest,0.37,0.9588235294117647,0.9578947368421052,0.9314285714285714,0.9449275362318841,0.958359133126935,12,7
Random Forest,0.38,0.9588235294117647,0.9578947368421052,0.9314285714285714,0.9449275362318841,0.958359133126935,12,7
Random Forest,0.39,0.9588235294117647,0.9578947368421052,0.9314285714285714,0.9449275362318841,0.958359133126935,12,7
Random Forest,0.4,0.9588235294117647,0.9614035087719298,0.9367816091954023,0.9476744186046512,0.9601135190918473,11,7
Random Forest,0.41,0.9588235294117647,0.9614035087719298,0.9367816091954023,0.9476744186046512,0.9601135190918473,11,7
Random Forest,0.42,0.9588235294117647,0.9614035087719298,0.9367816091954023,0.9476744186046512,0.9601135190918473,11,7
Random Forest,0.43,0.9588235294117647,0.9614035087719298,0.9367816091954023,0.9476744186046512,0.9601135190918473,11,7
