Feature,MeanAbsSHAP,MeanSHAP,Rank
worst texture,1.2576057211233624,-0.2763121914474287,1
radius error,0.8329485123471287,-0.2357526012882846,2
worst symmetry,0.7575779030970506,-0.11634434015601074,3
compactness error,0.7230049809709607,-0.052670472802383655,4
mean concave points,0.7055087861714741,-0.013456759103878646,5
worst concavity,0.6954224665309297,-0.05697498083436344,6
worst radius,0.6750580629923667,-0.1110513259931792,7
worst area,0.6431452841502686,-0.12227606112975427,8
worst concave points,0.572862374264402,-0.05106620104938028,9
mean concavity,0.5372219170401469,-0.040323011054641096,10
worst perimeter,0.5229730018598756,-0.08286161002879383,11
area error,0.5156795504946218,-0.17053927107203892,12
perimeter error,0.4582648838678095,-0.12760298263946088,13
concave points error,0.42964688282222685,0.0044927814119554155,14
fractal dimension error,0.39122472508521344,-6.570471329504657e-05,15
mean compactness,0.3852298250356198,-0.051539400955807085,16
mean texture,0.3544739671556143,-0.0573813222694433,17
texture error,0.2991461046503554,0.03909652828280409,18
mean area,0.28431375995162933,-0.042484616186566765,19
mean smoothness,0.2667519508509659,0.05721359538598588,20
symmetry error,0.2648293527528096,-0.019149946228266112,21
mean radius,0.23598606375742526,-0.027689908594834497,22
mean perimeter,0.23141517599537598,-0.024769313858284927,23
worst smoothness,0.22681355170188436,0.02228146136612718,24
smoothness error,0.1851150256748184,0.023739555539089043,25
mean symmetry,0.15622942670219603,0.0223066959695395,26
worst compactness,0.12562823244213678,-0.00041579709478667566,27
concavity error,0.07898570370810731,0.012080698718103989,28
worst fractal dimension,0.04622514748657987,-0.0021923597098771966,29
mean fractal dimension,0.034540462089829714,-0.00351522651430495,30
