sample_index,split,true_label
0,development,1
1,development,1
2,development,1
3,development,1
4,test,1
5,test,1
6,development,1
7,test,1
8,development,1
9,development,1
10,development,1
11,development,1
12,development,1
13,development,1
14,test,1
15,development,1
16,development,1
17,development,1
18,development,1
19,development,0
20,test,0
21,development,0
22,test,1
23,development,1
24,development,1
25,development,1
26,development,1
27,development,1
28,development,1
29,development,1
30,development,1
31,development,1
32,development,1
33,development,1
34,test,1
35,development,1
36,development,1
37,development,0
38,development,1
39,test,1
40,development,1
41,development,1
42,development,1
43,development,1
44,development,1
45,development,1
46,development,0
47,development,1
48,development,0
49,development,0
50,development,0
51,development,0
52,development,0
53,development,1
54,development,1
55,development,0
56,development,1
57,development,1
58,development,0
59,development,0
60,test,0
61,development,0
62,development,1
63,development,0
64,test,1
65,development,1
66,development,0
67,development,0
68,development,0
69,development,0
70,test,1
71,test,0
72,development,1
73,test,1
74,test,0
75,test,1
76,development,0
77,development,1
78,development,1
79,development,0
80,development,0
81,development,0
82,development,1
83,test,1
84,development,0
85,development,1
86,test,1
87,development,1
88,development,0
89,development,0
90,development,0
91,development,1
92,development,0
93,development,0
94,test,1
95,development,1
96,development,0
97,development,0
98,test,0
99,test,1
100,test,1
101,development,0
102,development,0
103,development,0
104,development,0
105,development,1
106,development,0
107,development,0
108,development,1
109,development,0
110,development,0
111,test,0
112,development,0
113,development,0
114,development,0
115,development,0
116,test,0
117,development,1
118,test,1
119,development,1
120,test,0
121,development,1
122,development,1
123,test,0
124,development,0
125,test,0
126,development,1
127,development,1
128,test,0
129,development,1
130,test,0
131,development,1
132,development,1
133,development,0
134,development,1
135,development,1
136,development,0
137,development,0
138,development,1
139,test,0
140,development,0
141,development,1
142,development,0
143,development,0
144,development,0
145,development,0
146,development,1
147,development,0
148,development,0
149,development,0
150,development,0
151,development,0
152,development,0
153,development,0
154,test,0
155,development,0
156,development,1
157,development,0
158,development,0
159,development,0
160,development,0
161,development,1
162,test,1
163,development,0
164,development,1
165,development,0
166,development,0
167,development,1
168,development,1
169,test,0
170,development,0
171,development,1
172,development,1
173,development,0
174,development,0
175,development,0
176,development,0
177,test,1
178,development,0
179,test,0
180,development,1
181,development,1
182,development,1
183,test,0
184,development,1
185,development,0
186,development,1
187,development,0
188,test,0
189,development,0
190,test,1
191,development,0
192,development,0
193,development,1
194,development,1
195,development,0
196,test,1
197,development,1
198,test,1
199,development,1
200,development,0
201,development,1
202,development,1
203,development,1
204,development,0
205,test,1
206,development,0
207,test,1
208,test,0
209,development,0
210,development,1
211,development,0
212,development,1
213,development,1
214,development,1
215,development,1
216,test,0
217,development,0
218,test,1
219,test,1
220,development,0
221,test,0
222,test,0
223,development,1
224,development,0
225,development,0
226,development,0
227,development,0
228,development,0
229,development,1
230,development,1
231,development,0
232,development,0
233,development,1
234,development,0
235,development,0
236,development,1
237,development,1
238,development,0
239,development,1
240,development,0
241,development,0
242,development,0
243,development,0
244,development,1
245,test,0
246,development,0
247,development,0
248,development,0
249,development,0
250,test,1
251,development,0
252,development,1
253,development,1
254,development,1
255,development,1
256,development,1
257,development,1
258,development,1
259,development,1
260,development,1
261,development,1
262,development,1
263,development,1
264,development,1
265,development,1
266,development,0
267,development,0
268,development,0
269,test,0
270,development,0
271,development,0
272,development,1
273,development,0
274,development,1
275,test,0
276,development,0
277,test,1
278,development,0
279,development,0
280,test,1
281,development,0
282,test,1
283,development,1
284,development,0
285,development,0
286,development,0
287,development,0
288,development,0
289,development,0
290,development,0
291,development,0
292,development,0
293,development,0
294,test,0
295,development,0
296,test,0
297,development,1
298,development,0
299,development,0
300,development,1
301,development,0
302,development,1
303,development,0
304,development,0
305,development,0
306,development,0
307,development,0
308,test,0
309,test,0
310,development,0
311,development,0
312,development,0
313,development,0
314,test,0
315,development,0
316,development,0
317,development,1
318,test,0
319,development,0
320,development,0
321,test,1
322,development,0
323,development,1
324,development,0
325,test,0
326,development,0
327,development,0
328,development,1
329,test,1
330,development,1
331,development,0
332,development,0
333,development,0
334,development,0
335,development,1
336,development,0
337,development,1
338,development,0
339,development,1
340,development,0
341,development,0
342,development,0
343,development,1
344,development,0
345,test,0
346,test,0
347,test,0
348,test,0
349,test,0
350,development,0
351,development,1
352,development,1
353,development,1
354,development,0
355,development,0
356,development,0
357,development,0
358,development,0
359,development,0
360,development,0
361,development,0
362,test,0
363,development,0
364,development,0
365,development,1
366,development,1
367,development,0
368,development,1
369,development,1
370,development,1
371,test,0
372,development,1
373,development,1
374,development,0
375,test,0
376,development,0
377,development,0
378,development,0
379,development,1
380,development,0
381,test,0
382,development,0
383,test,0
384,development,0
385,test,1
386,development,0
387,test,0
388,development,0
389,development,1
390,development,0
391,development,0
392,development,1
393,test,1
394,development,0
395,development,0
396,development,0
397,development,0
398,development,0
399,development,0
400,development,1
401,development,0
402,development,0
403,development,0
404,development,0
405,development,0
406,development,0
407,development,0
408,development,1
409,development,0
410,test,0
411,test,0
412,development,0
413,development,0
414,development,1
415,development,0
416,development,0
417,development,1
418,test,0
419,development,0
420,test,0
421,development,0
422,development,0
423,development,0
424,development,0
425,development,0
426,development,0
427,development,0
428,test,0
429,test,0
430,development,1
431,development,0
432,development,1
433,test,1
434,development,0
435,development,1
436,development,0
437,development,0
438,test,0
439,development,0
440,test,0
441,development,1
442,development,0
443,development,0
444,development,1
445,development,0
446,development,1
447,test,0
448,test,0
449,development,1
450,development,0
451,test,1
452,development,0
453,development,0
454,development,0
455,test,0
456,test,0
457,development,0
458,development,0
459,test,0
460,development,1
461,development,1
462,development,0
463,development,0
464,test,0
465,development,0
466,development,0
467,development,0
468,test,1
469,development,0
470,development,0
471,development,0
472,development,0
473,development,0
474,development,0
475,development,0
476,development,0
477,development,0
478,development,0
479,test,1
480,development,0
481,development,0
482,development,0
483,test,0
484,development,0
485,development,0
486,development,0
487,test,1
488,development,0
489,development,1
490,development,0
491,development,0
492,development,1
493,development,0
494,development,0
495,development,0
496,development,0
497,development,0
498,development,1
499,development,1
500,development,0
501,development,1
502,test,0
503,test,1
504,development,0
505,test,0
506,test,0
507,development,0
508,development,0
509,development,1
510,development,0
511,test,0
512,development,1
513,development,0
514,development,1
515,development,0
516,development,1
517,development,1
518,development,0
519,development,0
520,development,0
521,development,1
522,test,0
523,development,0
524,development,0
525,development,0
526,development,0
527,development,0
528,test,0
529,test,0
530,development,0
531,development,0
532,development,0
533,test,1
534,test,0
535,development,1
536,development,1
537,development,0
538,development,0
539,development,0
540,development,0
541,development,0
542,development,0
543,development,0
544,development,0
545,development,0
546,development,0
547,development,0
548,test,0
549,development,0
550,development,0
551,development,0
552,development,0
553,test,0
554,test,0
555,development,0
556,test,0
557,development,0
558,development,0
559,development,0
560,test,0
561,development,0
562,development,1
563,test,1
564,development,1
565,development,1
566,development,1
567,development,1
568,test,0
