epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.5301069021224976,0.511574387550354,0.17320594191551208,0.4372413754463196,0.426075279712677,0.5153846144676208,0.5074184536933899,0.17434684932231903,0.449122816324234,0.800000011920929,9.999999747378752e-05
2,0.47720879316329956,0.5147627592086792,0.1733684092760086,0.4289008378982544,0.75,0.5102564096450806,0.5369429588317871,0.17362195253372192,0.4452296793460846,0.7875000238418579,9.999999747378752e-05
3,0.48733821511268616,0.5273852348327637,0.17303480207920074,0.43828529119491577,0.7970430254936218,0.49743589758872986,0.5800543427467346,0.1737113893032074,0.4433962404727936,0.8812500238418579,9.999999747378752e-05
4,0.5030950903892517,0.5731453895568848,0.17225199937820435,0.4477050304412842,0.7997311949729919,0.6358974575996399,0.6219157576560974,0.17161183059215546,0.6097561120986938,0.3125,9.999999747378752e-05
5,0.5548677444458008,0.5774286985397339,0.1717941015958786,0.47385984659194946,0.5725806355476379,0.6102564334869385,0.6153668165206909,0.17150487005710602,0.523809552192688,0.550000011920929,9.999999747378752e-05
6,0.5627462267875671,0.5907544493675232,0.17121250927448273,0.4815642535686493,0.5793010592460632,0.5948718190193176,0.6278532147407532,0.17133410274982452,0.5054945349693298,0.574999988079071,9.999999747378752e-05
7,0.5492402911186218,0.5917829871177673,0.17075522243976593,0.46772366762161255,0.5551075339317322,0.6282051205635071,0.6371060013771057,0.17043252289295197,0.5496688485145569,0.518750011920929,9.999999747378752e-05
8,0.5869442820549011,0.6026943922042847,0.17006473243236542,0.5062656402587891,0.5430107712745667,0.5564102530479431,0.6186005473136902,0.17172816395759583,0.4723404347896576,0.6937500238418579,9.999999747378752e-05
9,0.5762521028518677,0.5996243357658386,0.1702999770641327,0.49417853355407715,0.5134408473968506,0.6102564334869385,0.6316304206848145,0.1705886274576187,0.5215053558349609,0.606249988079071,9.999999747378752e-05
10,0.579628586769104,0.609469473361969,0.16964282095432281,0.4981226623058319,0.5349462628364563,0.6307692527770996,0.634239137172699,0.1696816235780716,0.5526315569877625,0.5249999761581421,4.999999873689376e-05
11,0.574001133441925,0.620198130607605,0.16935287415981293,0.49212121963500977,0.5456989407539368,0.6102564334869385,0.6343885660171509,0.1699865460395813,0.5224719047546387,0.581250011920929,4.999999873689376e-05
12,0.5965109467506409,0.6249759197235107,0.16909338533878326,0.5161676406860352,0.5793010592460632,0.5923076868057251,0.6330162882804871,0.17008520662784576,0.5026454925537109,0.59375,4.999999873689376e-05
