threshold,sensitivity,specificity,precision,f1,balanced_accuracy,fn,fp,tn,tp
0.05,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.06,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.07,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.08,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.09,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.1,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.11,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.12,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.13,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.14,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.15,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.16,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.17,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.18,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.19,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.2,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.21,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.22,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.23,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.24,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.25,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.26,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.27,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.28,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.29,1.0,0.0,0.41025641025641024,0.5818181818181818,0.5,0,230,0,160
0.3,1.0,0.004347826086956522,0.41131105398457585,0.5828779599271403,0.5021739130434782,0,229,1,160
0.31,1.0,0.004347826086956522,0.41131105398457585,0.5828779599271403,0.5021739130434782,0,229,1,160
0.32,1.0,0.004347826086956522,0.41131105398457585,0.5828779599271403,0.5021739130434782,0,229,1,160
0.33,1.0,0.008695652173913044,0.41237113402061853,0.583941605839416,0.5043478260869565,0,228,2,160
0.34,1.0,0.017391304347826087,0.41450777202072536,0.5860805860805861,0.508695652173913,0,226,4,160
0.35,1.0,0.021739130434782608,0.4155844155844156,0.5871559633027523,0.5108695652173914,0,225,5,160
0.36,1.0,0.030434782608695653,0.4177545691906005,0.5893186003683242,0.5152173913043478,0,223,7,160
0.37,1.0,0.043478260869565216,0.42105263157894735,0.5925925925925926,0.5217391304347826,0,220,10,160
0.38,1.0,0.05652173913043478,0.4244031830238727,0.595903165735568,0.5282608695652173,0,217,13,160
0.39,1.0,0.06956521739130435,0.42780748663101603,0.599250936329588,0.5347826086956522,0,214,16,160
0.4,1.0,0.08260869565217391,0.431266846361186,0.6026365348399246,0.5413043478260869,0,211,19,160
0.41,1.0,0.09565217391304348,0.43478260869565216,0.6060606060606061,0.5478260869565217,0,208,22,160
0.42,0.98125,0.13043478260869565,0.43977591036414565,0.6073500967117988,0.5558423913043478,3,200,30,157
0.43,0.9625,0.18695652173913044,0.45161290322580644,0.6147704590818364,0.5747282608695652,6,187,43,154
0.44,0.95625,0.24347826086956523,0.46788990825688076,0.6283367556468172,0.5998641304347826,7,174,56,153
0.45,0.94375,0.2782608695652174,0.47634069400630913,0.6331236897274634,0.6110054347826087,9,166,64,151
0.46,0.93125,0.30869565217391304,0.4837662337662338,0.6367521367521367,0.6199728260869566,11,159,71,149
0.47,0.88125,0.3869565217391304,0.5,0.6380090497737556,0.6341032608695651,19,141,89,141
0.48,0.8125,0.4260869565217391,0.4961832061068702,0.6161137440758294,0.6192934782608696,30,132,98,130
0.49,0.75,0.45652173913043476,0.4897959183673469,0.5925925925925926,0.6032608695652174,40,125,105,120
0.5,0.725,0.5478260869565217,0.5272727272727272,0.6105263157894737,0.6364130434782609,44,104,126,116
0.51,0.6875,0.6,0.5445544554455446,0.6077348066298343,0.64375,50,92,138,110
0.52,0.65,0.6608695652173913,0.5714285714285714,0.6081871345029239,0.6554347826086957,56,78,152,104
0.53,0.55625,0.7217391304347827,0.5816993464052288,0.5686900958466453,0.6389945652173914,71,64,166,89
0.54,0.475,0.8043478260869565,0.628099173553719,0.5409252669039146,0.6396739130434783,84,45,185,76
0.55,0.41875,0.8304347826086956,0.6320754716981132,0.5037593984962406,0.6245923913043478,93,39,191,67
