condition,metric,mean,lower_ci,upper_ci,ci_range
Baseline + Original,accuracy,0.6204274611398966,0.5724740932642487,0.6709844559585493,0.09851036269430058
Baseline + Original,sensitivity,0.2445366497647429,0.17807798974703756,0.31214776011560696,0.1340697703685694
Baseline + Original,specificity,0.892448832407103,0.8516514318360351,0.9292535875631145,0.0776021557270794
Baseline + Original,roc_auc,0.6696232612474549,0.6161520276865833,0.7220638221241892,0.1059117944376059
Baseline + ROI,accuracy,0.5482331606217618,0.4999352331606218,0.5984455958549223,0.09851036269430052
Baseline + ROI,sensitivity,0.4301353656337042,0.35185185185185186,0.5090994854202401,0.15724763356838822
Baseline + ROI,specificity,0.6336755409990742,0.5707358490566038,0.6972534885513839,0.12651763949478012
Baseline + ROI,roc_auc,0.6034686400264858,0.5467151953771494,0.6585659663234856,0.11185077094633622
Optimized + Original,accuracy,0.4761580310880829,0.4274611398963731,0.5259715025906735,0.09851036269430041
Optimized + Original,sensitivity,0.943991170754332,0.9058823529411765,0.9754601226993865,0.06957776975821006
Optimized + Original,specificity,0.13758538734803602,0.09291802023822861,0.1814059196617336,0.088487899423505
Optimized + Original,roc_auc,0.6541916140598444,0.6000669527758031,0.7087296807197682,0.10866272794396503
Optimized + ROI,accuracy,0.4787564766839378,0.43005181347150256,0.5284974093264249,0.0984455958549223
Optimized + ROI,sensitivity,0.9498583967672213,0.9107142857142857,0.9802663828689371,0.06955209715465138
Optimized + ROI,specificity,0.13778791074956284,0.0932128393580321,0.18137363352420613,0.08816079416617403
Optimized + ROI,roc_auc,0.5816982364062967,0.5253072691911301,0.6402466121888766,0.11493934299774644
