Feature,ANOVA_F,Mutual_Info,RF_Importance,LR_Coef,ANOVA_F_norm,Mutual_Info_norm,RF_Importance_norm,LR_Coef_norm,Avg_Score
worst concave points,960.069362028621,0.4839067417331935,0.13965628028049815,1.0467336627338042,1.0,0.9136548204936631,0.8634815075720856,0.7502414377442381,0.8818444414524966
worst area,482.1070613396374,0.5060451832685098,0.16134697923720967,1.1290916451071333,0.5021573207508907,0.9572622109570977,1.0,0.8093989844885571,0.8172046290491364
worst perimeter,686.2064559153404,0.5277421487145006,0.10133312165168691,0.9194645583561631,0.7147460317898554,1.0,0.6222804355585762,0.6588243367618556,0.7489627010275719
worst radius,665.0378300931093,0.5081414442702341,0.05560407657655933,1.143707326483013,0.6926969174974312,0.961391339553148,0.33446765892636454,0.8198973943485063,0.7021133275813626
mean concave points,720.21139363818,0.4711223104451554,0.09005832216840476,0.637507272159226,0.7501653719328629,0.8884725742121855,0.5513182857930683,0.45629507539060754,0.661562826832181
worst concavity,440.817109808623,0.3921003256798903,0.03326416815208195,0.9616494514206947,0.4591499537124554,0.7328183227890503,0.1938631249196978,0.68912564710791,0.5187392621322784
mean perimeter,573.5828709177209,0.43791468784226484,0.05346742083838104,0.408575925422312,0.5974379779516523,0.8230615667166239,0.3210198202561728,0.2918542227184487,0.5083433969107245
mean radius,537.1169780668993,0.41745900257415425,0.05626130929990029,0.4591064040008369,0.5594553216377661,0.7827688002515304,0.33860419785228224,0.328150147683822,0.5022446168563501
mean concavity,460.5082175188617,0.3939303034068691,0.07279770162750272,0.485795894449535,0.47966009395932613,0.7364229375561943,0.4426821418256964,0.34732114645409085,0.5015215799488268
area error,223.87181308231533,0.3817413133734624,0.05654287075878929,0.9830885554579677,0.23318102767575927,0.7124135669375011,0.3403763097593279,0.7045253055586495,0.4976240524828095
radius error,236.73504752427107,0.2719928476762645,0.013735168407923274,1.2508699840555175,0.2465792958846985,0.4962355587075196,0.07095009159521222,0.8968720814632777,0.42765925691267703
mean area,448.7031812834254,0.3988379484495843,0.01977434760632553,0.5308923609026455,0.4673640386854883,0.7460898146618941,0.10895991512894358,0.3797138331776479,0.4255319004134935
worst texture,153.5340541061413,0.19938452059462275,0.024911807344897275,1.3944426601462674,0.15991763780045049,0.3532146660717412,0.1412944314033446,1.0,0.4136066838188841
mean compactness,315.2115247344314,0.28034365057463595,0.014446328257192949,0.7455518842173847,0.32831992608925636,0.5126846263662138,0.0754260409729301,0.5339032683563959,0.362583465446199
perimeter error,224.26587214585106,0.2987581316357717,0.009382324251834571,0.6348278364275542,0.2335914772440416,0.5489567128422864,0.04355384571356365,0.45437044295089757,0.3201181196876973
worst symmetry,102.68148171470868,0.07880117944827836,0.006829730491019228,0.9734505662107961,0.10694990195692014,0.11569456636798131,0.02748814618479924,0.6976023603506639,0.23693374371509116
worst compactness,289.4065071539074,0.26398465204815436,0.018961114887584285,0.0022621708287618664,0.30144157381787495,0.48046134474103586,0.10384153213090486,0.0,0.22143611267245392
concave points error,118.0497740656728,0.16998873228947398,0.002961147339622996,0.4721967111360445,0.12295742353018786,0.29531205280250167,0.0031397772956893266,0.33755288478267687,0.1897405346027639
mean texture,116.82733245479413,0.15007746540254874,0.012790660297946684,0.3998683828219144,0.12168413564554055,0.2560916592452277,0.06500547802986441,0.28559961516776655,0.1820952220220998
compactness error,54.836724727661995,0.09278689179862787,0.0048855696913312815,0.6594700819848106,0.05711508868374253,0.143243046616605,0.015251846103343234,0.4720709104882187,0.17192022297297738
worst smoothness,125.86389458862443,0.09285542448936224,0.012236755377244135,0.35643604558930075,0.13109656482127705,0.1433780394886008,0.06151927111354383,0.2544022685838436,0.14759903600181634
mean symmetry,85.83018867794162,0.09340587254945842,0.0035401120015674387,0.4376603518551676,0.08939769572194556,0.14446228940963354,0.00678370702683504,0.312745498423019,0.1383472976453583
concavity error,40.93504190769503,0.1967993176142424,0.0040535734251317245,0.19167818599061345,0.04263517884318136,0.34812243970102574,0.010015367731028148,0.13605708212065934,0.13420751709897363
symmetry error,0.002415960660585885,0.04420831706591466,0.002462284783344213,0.6810247157102517,0.0,0.04755497059972654,0.0,0.4875535536446444,0.13377713106109274
mean smoothness,108.36138364528874,0.09466581988326195,0.007831743802539029,0.30739731381611846,0.11286605390220125,0.14694408178245644,0.03379469015345539,0.2191778618711603,0.12819567192731834
fractal dimension error,2.621088055142846,0.058393301307596124,0.0037452144377904937,0.40602047297795507,0.00272759322170945,0.07549596841377314,0.008074595598122878,0.2900186471849848,0.09407920110464757
worst fractal dimension,63.677519988199755,0.07651679945268741,0.00525394105293254,0.010332017434135822,0.06632360825286844,0.11119488872465301,0.017570328464828474,0.00579655200406527,0.0502213443616038
texture error,0.027925865413300745,0.02115334281756054,0.005186654297859533,0.04155835620889285,2.6570964511582183e-05,0.002142231741455998,0.01714683421131153,0.02822635835055792,0.011885498816959258
mean fractal dimension,0.015604792788613243,0.020065782391235798,0.002956892618633909,0.0612793922581554,1.3737408815128357e-05,0.0,0.003112998624504467,0.04239193257070123,0.011379667151005206
smoothness error,3.7932059913182763,0.024002956066184078,0.003722379036265052,0.027196080159663988,0.003948464267188042,0.0077552825700010425,0.007930872493742474,0.01790996894599893,0.009386147069232622
