Rank,Feature,Avg_Importance_Score
1,worst concave points,0.8818444414524966
2,worst area,0.8172046290491364
3,worst perimeter,0.7489627010275719
4,worst radius,0.7021133275813626
5,mean concave points,0.661562826832181
6,worst concavity,0.5187392621322784
7,mean perimeter,0.5083433969107245
8,mean radius,0.5022446168563501
9,mean concavity,0.5015215799488268
10,area error,0.4976240524828095
11,radius error,0.42765925691267703
12,mean area,0.4255319004134935
13,worst texture,0.4136066838188841
14,mean compactness,0.362583465446199
15,perimeter error,0.3201181196876973
