Condition,Metric,Value (95% CI)
Baseline + Original,ACCURACY,"0.620 [0.572, 0.671]"
Baseline + Original,SENSITIVITY,"0.245 [0.178, 0.312]"
Baseline + Original,SPECIFICITY,"0.892 [0.852, 0.929]"
Baseline + Original,ROC_AUC,"0.670 [0.616, 0.722]"
Baseline + ROI,ACCURACY,"0.548 [0.500, 0.598]"
Baseline + ROI,SENSITIVITY,"0.430 [0.352, 0.509]"
Baseline + ROI,SPECIFICITY,"0.634 [0.571, 0.697]"
Baseline + ROI,ROC_AUC,"0.603 [0.547, 0.659]"
Optimized + Original,ACCURACY,"0.476 [0.427, 0.526]"
Optimized + Original,SENSITIVITY,"0.944 [0.906, 0.975]"
Optimized + Original,SPECIFICITY,"0.138 [0.093, 0.181]"
Optimized + Original,ROC_AUC,"0.654 [0.600, 0.709]"
Optimized + ROI,ACCURACY,"0.479 [0.430, 0.528]"
Optimized + ROI,SENSITIVITY,"0.950 [0.911, 0.980]"
Optimized + ROI,SPECIFICITY,"0.138 [0.093, 0.181]"
Optimized + ROI,ROC_AUC,"0.582 [0.525, 0.640]"
