model,metric,point_estimate,ci95_lower,ci95_upper,bootstrap_iterations,valid_iterations,seed
Logistic Regression,roc_auc,0.9953703703703705,0.9857934253246753,1.0,2000,2000,42
Logistic Regression,pr_auc,0.9932171487049537,0.9792181173889334,1.0,2000,2000,42
Logistic Regression,sensitivity,0.9523809523809523,0.875,1.0,2000,2000,42
Logistic Regression,specificity,0.9861111111111112,0.95159307244844,1.0,2000,2000,42
Logistic Regression,balanced_accuracy,0.9692460317460317,0.9299336677814938,1.0,2000,2000,42
Random Forest,roc_auc,0.9983465608465608,0.9941545520480175,1.0,2000,2000,42
Random Forest,pr_auc,0.9972296091127629,0.9900977112155165,1.0,2000,2000,42
Random Forest,sensitivity,0.9285714285714286,0.8461538461538461,1.0,2000,2000,42
Random Forest,specificity,0.9861111111111112,0.9552238805970149,1.0,2000,2000,42
Random Forest,balanced_accuracy,0.9573412698412699,0.9133116883116883,0.9937519290123457,2000,2000,42
XGBoost,roc_auc,0.9923941798941799,0.9732886904761905,1.0,2000,2000,42
XGBoost,pr_auc,0.9915750915750916,0.9702355676819372,1.0000000000000002,2000,2000,42
XGBoost,sensitivity,0.9047619047619048,0.8094984802431611,0.9791772959183672,2000,2000,42
XGBoost,specificity,1.0,1.0,1.0,2000,2000,42
XGBoost,balanced_accuracy,0.9523809523809523,0.9047492401215805,0.9895886479591836,2000,2000,42
