feature,Logistic Regression,Random Forest,XGBoost
area error,0.6735356026357209,0.029200796480721613,0.76785976
compactness error,0.4181705632649344,0.04349609275955186,0.19856338
concave points error,0.3132243423295038,0.0023860924907838223,0.027840449
concavity error,0.08304173733911381,0.002386092490783823,0.0031186433
fractal dimension error,0.2132031905142036,0.0011349354438602987,0.040290333
mean area,0.4034282971166794,0.011293654037877373,0.025229553
mean compactness,0.5418719622714264,0.01458767351923042,0.05359711
mean concave points,0.4793126570786168,0.012796286411594108,0.4504053
mean concavity,0.3122739120386587,0.012796286411594108,0.06557152
mean fractal dimension,0.04230874959233551,0.005046124356665601,0.008675265
mean perimeter,0.31393687590769415,0.011293654037877375,0.0
mean radius,0.3550381686003219,0.023217393889862093,0.0013296483
mean smoothness,0.2871212557362973,0.01458767351923042,0.37303072
mean symmetry,0.3041057496549955,0.0050461243566656015,0.010755515
mean texture,0.2847294476253392,0.023217393889862093,0.18428227
